"nameWithOwner","description","stargazerCount","forkCount","updatedAt","latestRelease","license","language","url"
"modelcontextprotocol/servers","Model Context Protocol Servers","87202","11000","2026-06-14T12:36:38Z","2026.1.26 2026-01-27T12:11:26Z","other","TypeScript","https://github.com/modelcontextprotocol/servers"
"crewAIInc/crewAI","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","53527","7492","2026-06-14T12:26:39Z","1.14.7 2026-06-11T17:13:46Z","mit","Python","https://github.com/crewAIInc/crewAI"
"agno-agi/agno","Build, run, and manage agent platforms.","40675","5519","2026-06-14T11:52:41Z","v2.6.14 2026-06-12T16:38:25Z","apache-2.0","Python","https://github.com/agno-agi/agno"
"langchain-ai/langgraph","Build resilient agents.","34695","5824","2026-06-14T12:38:39Z","1.2.5 2026-06-12T20:31:14Z","mit","Python","https://github.com/langchain-ai/langgraph"
"microsoft/semantic-kernel","Integrate cutting-edge LLM technology quickly and easily into your apps","28114","4647","2026-06-14T12:35:20Z","python-1.43.0 2026-06-03T22:39:40Z","mit","C#","https://github.com/microsoft/semantic-kernel"
"openai/openai-agents-python","A lightweight, powerful framework for multi-agent workflows","27139","4189","2026-06-14T12:01:09Z","v0.17.5 2026-06-11T04:11:51Z","mit","Python","https://github.com/openai/openai-agents-python"
"BloopAI/vibe-kanban","Get 10X more out of Claude Code, Codex or any coding agent","26995","2851","2026-06-14T12:51:09Z","v0.1.44-20260424091429 2026-04-24T09:46:55Z","apache-2.0","Rust","https://github.com/BloopAI/vibe-kanban"
"a2aproject/A2A","Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications.","24277","2464","2026-06-14T12:26:00Z","v1.0.1 2026-05-28T11:34:36Z","apache-2.0","Shell","https://github.com/a2aproject/A2A"
"browserbase/stagehand","The SDK For Browser Agents","23102","1574","2026-06-14T11:27:51Z","@browserbasehq/stagehand@2.5.9 2026-06-11T21:31:41Z","mit","TypeScript","https://github.com/browserbase/stagehand"
"promptfoo/promptfoo","Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, DeepSeek, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic.","22184","1977","2026-06-14T12:35:30Z","0.121.15 2026-06-05T14:21:17Z","mit","TypeScript","https://github.com/promptfoo/promptfoo"
"Skyvern-AI/skyvern","Automate browser based workflows with AI","21902","2039","2026-06-14T12:06:32Z","v1.0.41 2026-06-11T21:37:23Z","agpl-3.0","Python","https://github.com/Skyvern-AI/skyvern"
"triggerdotdev/trigger.dev","Trigger.dev ? build and deploy fully-managed AI agents and workflows","15341","1302","2026-06-14T10:35:17Z","v4.4.6 2026-05-12T10:38:39Z","apache-2.0","TypeScript","https://github.com/triggerdotdev/trigger.dev"
"ag-ui-protocol/ag-ui","AG-UI: the Agent-User Interaction Protocol. Bring Agents into Frontend Applications.","14253","1286","2026-06-14T12:37:34Z","release/2026-06-12 2026-06-12T08:20:59Z","mit","Python","https://github.com/ag-ui-protocol/ag-ui"
"microsoft/agent-framework","A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.","11325","1900","2026-06-14T11:18:54Z","dotnet-1.10.0 2026-06-10T17:50:17Z","mit","Python","https://github.com/microsoft/agent-framework"
"humanlayer/humanlayer","The best way to get AI coding agents to solve hard problems in complex codebases.","10988","926","2026-06-14T08:44:48Z","pro-0.20.0 2025-12-23T05:08:05Z","other","TypeScript","https://github.com/humanlayer/humanlayer"
"hatchet-dev/hatchet","?? An orchestration engine for background tasks, AI agents, and durable workflows","7340","416","2026-06-13T22:23:29Z","v0.89.0 2026-06-10T11:07:59Z","mit","Go","https://github.com/hatchet-dev/hatchet"
"inngest/inngest","The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.","5487","318","2026-06-14T10:35:14Z","v1.27.0 2026-06-09T23:22:48Z","other","Go","https://github.com/inngest/inngest"
"openai/openai-agents-js","A lightweight, powerful framework for multi-agent workflows and voice agents","3213","813","2026-06-14T10:41:20Z","v0.11.6 2026-05-29T01:53:06Z","mit","TypeScript","https://github.com/openai/openai-agents-js"
"stravu/crystal","(Crystal is now Nimbalyst) Run multiple Codex and Claude Code AI sessions in parallel git worktrees. Test, compare approaches & manage AI-assisted development workflows in one desktop app.","3082","195","2026-06-14T04:11:50Z","v0.3.5 2026-02-26T22:26:05Z","mit","TypeScript","https://github.com/stravu/crystal"
"dbos-inc/dbos-transact-py","Database-Backed Durable Python Workflows","1419","71","2026-06-14T04:47:54Z","2.23.0 2026-06-01T21:34:11Z","mit","Python","https://github.com/dbos-inc/dbos-transact-py"
"nimbalyst/nimbalyst","Nimbalyst - visual workspace for building with Codex, Claude Code, and more","823","113","2026-06-14T08:26:47Z","v0.64.4 2026-06-03T16:51:00Z","mit","TypeScript","https://github.com/nimbalyst/nimbalyst"
"andyrewlee/awesome-agent-orchestrators","List of agent orchestrators","718","80","2026-06-14T06:53:56Z","","","","https://github.com/andyrewlee/awesome-agent-orchestrators"
"nwiizo/ccswarm","Multi-agent orchestration system using Claude Code with Git worktree isolation and specialized AI agents for collaborative development","141","14","2026-06-14T08:21:43Z","v0.9.1 2026-06-10T10:24:28Z","mit","Makefile","https://github.com/nwiizo/ccswarm"
"untra/operator","?? Operator! Multi-agent orchestration application for AI assisted kanban shaped software development","26","6","2026-06-08T08:46:34Z","v0.2.1 2026-06-03T23:18:40Z","mit","Rust","https://github.com/untra/operator"
